"dt","AverageTemperature","country"
"2012-11-01",25.575,"Colombia"
"2012-12-01",25.228,"Colombia"
"2012-01-01",25.706,"Costa Rica"
"2012-02-01",26.717,"Costa Rica"
"2012-03-01",27.232,"Costa Rica"
"2012-04-01",27.044,"Costa Rica"
"2012-05-01",27.056,"Costa Rica"
"2012-06-01",26.786,"Costa Rica"
"2012-07-01",26.5,"Costa Rica"
"2012-08-01",26.794,"Costa Rica"
"2012-09-01",26.039,"Costa Rica"
"2012-10-01",24.912,"Costa Rica"
"2012-11-01",25.125,"Costa Rica"
"2012-12-01",25.473,"Costa Rica"
"2012-01-01",0.281,"Czech Republic"
"2012-02-01",-4.549,"Czech Republic"
"2012-03-01",6.145,"Czech Republic"
"2012-04-01",8.842,"Czech Republic"
"2012-05-01",14.982,"Czech Republic"
"2012-06-01",16.94,"Czech Republic"
"2012-07-01",19.052,"Czech Republic"
"2012-08-01",19.156,"Czech Republic"
"2012-09-01",14.289,"Czech Republic"
"2012-10-01",8.085,"Czech Republic"
"2012-11-01",5.046,"Czech Republic"
"2012-12-01",-1.138,"Czech Republic"
"2012-01-01",25.527,"Djibouti"
"2012-02-01",26.175,"Djibouti"
"2012-03-01",27.445,"Djibouti"
"2012-04-01",28.816,"Djibouti"
"2012-05-01",30.668,"Djibouti"
"2012-06-01",33.877,"Djibouti"
"2012-07-01",34.827,"Djibouti"
"2012-08-01",35.053,"Djibouti"
"2012-09-01",32.899,"Djibouti"
"2012-10-01",29.849,"Djibouti"
"2012-11-01",27.531,"Djibouti"
"2012-12-01",26.416,"Djibouti"
"2012-01-01",24.326,"Dominican Republic"
"2012-02-01",24.688,"Dominican Republic"
"2012-03-01",24.998,"Dominican Republic"
"2012-04-01",25.372,"Dominican Republic"
"2012-05-01",26.755,"Dominican Republic"
"2012-06-01",27.907,"Dominican Republic"
"2012-07-01",28.049,"Dominican Republic"
"2012-08-01",28.023,"Dominican Republic"
"2012-09-01",27.242,"Dominican Republic"
"2012-10-01",26.801,"Dominican Republic"
"2012-11-01",26.51,"Dominican Republic"
"2012-12-01",25.41,"Dominican Republic"
"2012-01-01",22.176,"Ecuador"
"2012-02-01",22.237,"Ecuador"
"2012-03-01",22.759,"Ecuador"
"2012-04-01",22.661,"Ecuador"
"2012-05-01",22.954,"Ecuador"
"2012-06-01",22.981,"Ecuador"
"2012-07-01",22.087,"Ecuador"
"2012-08-01",22.003,"Ecuador"
"2012-09-01",22.12,"Ecuador"
"2012-10-01",22.254,"Ecuador"
"2012-11-01",22.686,"Ecuador"
"2012-12-01",22.433,"Ecuador"
"2012-01-01",26.216,"Equatorial Guinea"
"2012-02-01",25.971,"Equatorial Guinea"
"2012-03-01",27.106,"Equatorial Guinea"
"2012-04-01",26.548,"Equatorial Guinea"
"2012-05-01",25.982,"Equatorial Guinea"
"2012-06-01",25.061,"Equatorial Guinea"
"2012-07-01",23.863,"Equatorial Guinea"
"2012-08-01",24.39,"Equatorial Guinea"
"2012-09-01",24.88,"Equatorial Guinea"
"2012-10-01",25.047,"Equatorial Guinea"
"2012-11-01",25.453,"Equatorial Guinea"
"2012-12-01",25.925,"Equatorial Guinea"
"2012-01-01",26.517,"Fiji"
"2012-02-01",26.478,"Fiji"
"2012-03-01",27.094,"Fiji"
"2012-04-01",25.966,"Fiji"
"2012-05-01",24.967,"Fiji"
"2012-06-01",24.28,"Fiji"
"2012-07-01",24.095,"Fiji"
"2012-08-01",24.076,"Fiji"
"2012-09-01",24.402,"Fiji"
"2012-10-01",25.261,"Fiji"
"2012-11-01",25.743,"Fiji"
"2012-12-01",26.86,"Fiji"
"2012-01-01",25.137,"Gabon"
"2012-02-01",24.996,"Gabon"
"2012-03-01",26.291,"Gabon"
"2012-04-01",25.962,"Gabon"
"2012-05-01",25.437,"Gabon"
"2012-06-01",24.096,"Gabon"
"2012-07-01",23.042,"Gabon"
"2012-08-01",23.652,"Gabon"
"2012-09-01",24.492,"Gabon"
"2012-10-01",24.895,"Gabon"
"2012-11-01",24.999,"Gabon"
"2012-12-01",24.981,"Gabon"
"2012-01-01",21.803,"Guatemala"
"2012-02-01",22.957,"Guatemala"
"2012-03-01",23.793,"Guatemala"
"2012-04-01",24.924,"Guatemala"
"2012-05-01",25.657,"Guatemala"
"2012-06-01",25.17,"Guatemala"
"2012-07-01",24.643,"Guatemala"
"2012-08-01",24.662,"Guatemala"
"2012-09-01",24.753,"Guatemala"
"2012-10-01",23.381,"Guatemala"
